Main crop	Main Crop_GROUP	"MainCrop6cat (Legumes, Others, Cereals, Vegetables, Grasslands, Rice)"
pasture	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
pasture	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
miscanthus	"row crops (sugarcane, cotton, etc.)"	Others
miscanthus	"row crops (sugarcane, cotton, etc.)"	Others
miscanthus	"row crops (sugarcane, cotton, etc.)"	Others
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
rice	rice	Rice
rice	rice	Rice
#N/A	rice	Rice
rice	rice	Rice
rice	rice	Rice
#N/A	rice	Rice
rice	rice	Rice
rice	rice	Rice
#N/A	rice	Rice
rice	rice	Rice
rice	rice	Rice
#N/A	rice	Rice
rice	rice	Rice
rice	rice	Rice
#N/A	rice	Rice
rice	rice	Rice
rice	rice	Rice
#N/A	rice	Rice
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
trees	perennials (trees/forests/plantations)	Others
trees	perennials (trees/forests/plantations)	Others
wheat maize	cereals	Cereals
wheat maize	cereals	Cereals
wheat maize	cereals	Cereals
wheat maize	cereals	Cereals
wheat maize	cereals	Cereals
wheat maize	cereals	Cereals
wheat maize	cereals	Cereals
wheat maize	cereals	Cereals
wheat maize	cereals	Cereals
wheat maize	cereals	Cereals
cabbage	vegetables	Vegetables
cucumber	vegetables	Vegetables
cabbage	vegetables	Vegetables
cucumber	vegetables	Vegetables
chilli pepper	vegetables	Vegetables
celery	vegetables	Vegetables
cabbage	vegetables	Vegetables
cabbage	vegetables	Vegetables
cucumber	vegetables	Vegetables
cucumber	vegetables	Vegetables
cabbage	vegetables	Vegetables
cucumber	vegetables	Vegetables
maize	cereals	Cereals
melon	vegetables	Vegetables
melon	vegetables	Vegetables
melon	vegetables	Vegetables
melon	vegetables	Vegetables
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
rye	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
rye	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
rye	cereals	Cereals
maize	cereals	Cereals
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
permanent pasture	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
permanent pasture	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
permanent pasture	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
permanent pasture	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
wheat+fallow	cereals	Cereals
wheat+fallow	cereals	Cereals
wheat	cereals	Cereals
fallow	bare/fallow	
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
wheat+fallow	cereals	Cereals
wheat+fallow	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat+fallow	cereals	Cereals
wheat+fallow	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
wheat+fallow	cereals	Cereals
wheat+fallow	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
wheat	cereals	Cereals
rice	rice	Rice
wheat	cereals	Cereals
rice	rice	Rice
wheat	cereals	Cereals
rice	rice	Rice
wheat	cereals	Cereals
rice	rice	Rice
rice	rice	Rice
wheat	cereals	Cereals
rice	rice	Rice
wheat	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
Vegetables	vegetables	Vegetables
Vegetables	vegetables	Vegetables
Vegetables	vegetables	Vegetables
Vegetables	vegetables	Vegetables
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
potato	"row crops (sugarcane, cotton, etc.)"	Others
wheat	cereals	Cereals
potato	"row crops (sugarcane, cotton, etc.)"	Others
wheat	cereals	Cereals
pasture	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
pasture	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
pasture	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
spring barley	cereals	Cereals
spring barley	cereals	Cereals
spring wheat	cereals	Cereals
spring wheat	cereals	Cereals
spring wheat	cereals	Cereals
spring wheat	cereals	Cereals
spring barley	cereals	Cereals
spring barley	cereals	Cereals
spring barley	cereals	Cereals
spring barley	cereals	Cereals
spring wheat	cereals	Cereals
spring wheat	cereals	Cereals
NA	cereals	Cereals
NA	cereals	Cereals
NA	cereals	Cereals
NA	cereals	Cereals
NA	cereals	Cereals
NA	cereals	Cereals
NA	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
Olive	perennials (trees/forests/plantations)	Others
Olive	perennials (trees/forests/plantations)	Others
Olive	perennials (trees/forests/plantations)	Others
Olive	perennials (trees/forests/plantations)	Others
Olive	perennials (trees/forests/plantations)	Others
Olive	perennials (trees/forests/plantations)	Others
Olive	perennials (trees/forests/plantations)	Others
Olive	perennials (trees/forests/plantations)	Others
Olive	perennials (trees/forests/plantations)	Others
Olive	perennials (trees/forests/plantations)	Others
maize	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
winter wheat	cereals	Cereals
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
carrot	vegetables	Vegetables
carrot	vegetables	Vegetables
carrot	vegetables	Vegetables
carrot	vegetables	Vegetables
Douglas fir	perennials (trees/forests/plantations)	Others
Douglas fir	perennials (trees/forests/plantations)	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
potato	vegetables	Vegetables
potato	vegetables	Vegetables
potato	vegetables	Vegetables
potato	vegetables	Vegetables
potato	vegetables	Vegetables
potato	vegetables	Vegetables
potato	vegetables	Vegetables
potato	vegetables	Vegetables
Oil palm	perennials (trees/forests/plantations)	Others
Oil palm	perennials (trees/forests/plantations)	Others
Oil palm	perennials (trees/forests/plantations)	Others
Oil palm	perennials (trees/forests/plantations)	Others
Oil palm	perennials (trees/forests/plantations)	Others
Oil palm	perennials (trees/forests/plantations)	Others
Oil palm	perennials (trees/forests/plantations)	Others
Oil palm	perennials (trees/forests/plantations)	Others
Oil palm	perennials (trees/forests/plantations)	Others
Oil palm	perennials (trees/forests/plantations)	Others
Oil palm	perennials (trees/forests/plantations)	Others
Oil palm	perennials (trees/forests/plantations)	Others
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
#N/A	cereals	Cereals
#N/A	cereals	Cereals
#N/A	cereals	Cereals
#N/A	cereals	Cereals
#N/A	cereals	Cereals
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
maize	cereals	Cereals
bare	bare/fallow 	
bare	bare/fallow 	
maize	cereals	Cereals
maize	cereals	Cereals
bare	bare/fallow 	
bare	bare/fallow 	
maize	cereals	Cereals
maize	cereals	Cereals
bare	bare/fallow 	
maize	cereals	Cereals
maize	cereals	Cereals
rice	rice	Rice
rice	rice	Rice
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
#N/A	vegetables	Vegetables
#N/A	vegetables	Vegetables
#N/A	vegetables	Vegetables
#N/A	vegetables	Vegetables
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
potato	"row crops (sugarcane, cotton, etc.)"	Others
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
#N/A	cereals	Cereals
#N/A	cereals	Cereals
#N/A	cereals	Cereals
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
#N/A	cereals	Cereals
#N/A	cereals	Cereals
#N/A	cereals	Cereals
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
#N/A	cereals	Cereals
#N/A	cereals	Cereals
#N/A	cereals	Cereals
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
#N/A	cereals	Cereals
#N/A	cereals	Cereals
#N/A	cereals	Cereals
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
barley	cereals	Cereals
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
potatoe	"row crops (sugarcane, cotton, etc.)"	Others
potatoe	"row crops (sugarcane, cotton, etc.)"	Others
potatoe	"row crops (sugarcane, cotton, etc.)"	Others
Rice-wheat system 1	cereal-cereal/legume rotations	Cereals
Rice-wheat system 2	cereal-cereal/legume rotations	Cereals
Wheat (5 irrigations)	cereals	Cereals
Rice (saturated soil)	rice	Rice
Wheat (3 irrigations)	cereals	Cereals
Rice (Intermittent drying)	rice	Rice
Rice (Intermittent drying)	rice	Rice
Wheat (5 irrigations)	cereals	Cereals
Wheat (5 irrigations)	cereals	Cereals
Rice (saturated soil)	rice	Rice
Wheat (3 irrigations)	cereals	Cereals
Wheat (3 irrigations)	cereals	Cereals
Rice-wheat system 2	cereal-cereal/legume rotations	Cereals
Rice-wheat system 1	cereal-cereal/legume rotations	Cereals
Wheat (5 irrigations)	cereals	Cereals
Wheat (3 irrigations)	cereals	Cereals
Rice (Intermittent drying)	rice	Rice
Rice (saturated soil)	rice	Rice
Rice-wheat system 1	cereal-cereal/legume rotations	Cereals
Rice-wheat system 2	cereal-cereal/legume rotations	Cereals
Rice (Intermittent drying)	rice	Rice
Rice (saturated soil)	rice	Rice
Rice-wheat system 2	cereal-cereal/legume rotations	Cereals
Rice-wheat system 1	cereal-cereal/legume rotations	Cereals
rice	rice	Rice
Brachiaria	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
Brachiaria	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
bare	bare/fallow	
NA	NA	
NA	NA	
NA	NA	
NA	NA	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
bare	bare/fallow	
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
sugarcane	"row crops (sugarcane, cotton, etc.)"	Others
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
grassland	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
#N/A	cereals	Cereals
#N/A	cereal-cereal/legume rotations	Cereals
#N/A	cereal-cereal/legume rotations	Cereals
#N/A	cereals	Cereals
#N/A	cereal-cereal/legume rotations	Cereals
#N/A	cereal-cereal/legume rotations	Cereals
#N/A	cereal-cereal/legume rotations	Cereals
#N/A	cereal-cereal/legume rotations	Cereals
#N/A	cereals	Cereals
#N/A	cereals	Cereals
sorghum	cereals	Cereals
sorghum	cereals	Cereals
sorghum	cereals	Cereals
sorghum	cereals	Cereals
sorghum	cereals	Cereals
sorghum	cereals	Cereals
sorghum	cereals	Cereals
sorghum	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
weeds	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
weeds	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
weeds	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
weeds	grassland/pasture/steppe/savanah	Grassland/pasture/steppe/savanah
maize	cereals	Cereals
maize	cereals	Cereals
fallow	bare/fallow	
maize	cereals	Cereals
maize	cereals	Cereals
fallow	bare/fallow	
maize	cereals	Cereals
maize	cereals	Cereals
fallow	bare/fallow	
maize	cereals	Cereals
maize	cereals	Cereals
fallow	bare/fallow	
wheat	cereals	Cereals
rice	rice	Rice
wheat	cereals	Cereals
rice	rice	Rice
wheat	cereals	Cereals
rice	rice	Rice
wheat	cereals	Cereals
rice	rice	Rice
wheat	cereals	Cereals
rice	rice	Rice
wheat	cereals	Cereals
rice	rice	Rice
sorghum	cereals	Cereals
sorghum	cereals	Cereals
sorghum	cereals	Cereals
sorghum	cereals	Cereals
sorghum	cereals	Cereals
sorghum	cereals	Cereals
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
rice	rice	Rice
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
wheat	cereals	Cereals
wheat	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
maize	cereals	Cereals
